Date,Actual_price,Forecasted_Price
2018-03-28 00:00:00,166.48,168.41
2018-03-29 00:00:00,167.78,168.57
2018-04-02 00:00:00,166.68,168.06
2018-04-03 00:00:00,168.39,168.65
2018-04-04 00:00:00,171.61,169.53
2018-04-05 00:00:00,172.8,169.7
2018-04-06 00:00:00,168.38,169.09
2018-04-09 00:00:00,170.05,169.18
2018-04-10 00:00:00,173.25,169.78
2018-04-11 00:00:00,172.44,170.67
2018-04-12 00:00:00,174.14,170.83
2018-04-13 00:00:00,174.73,170.23
2018-04-16 00:00:00,175.82,170.31
2018-04-17 00:00:00,178.24,170.91
2018-04-18 00:00:00,177.84,171.81
2018-04-19 00:00:00,172.8,171.98
2018-04-20 00:00:00,165.72,171.54
2018-04-23 00:00:00,165.24,172.14
2018-04-24 00:00:00,162.94,172.91
2018-04-25 00:00:00,163.65,173.99
2018-04-26 00:00:00,164.22,174.34
2018-04-27 00:00:00,162.32,173.89
2018-04-30 00:00:00,165.26,174.5
2018-05-01 00:00:00,169.1,175.29
2018-05-02 00:00:00,176.57,176.74
2018-05-03 00:00:00,176.89,177.46
2018-05-04 00:00:00,183.83,177.37
2018-05-07 00:00:00,185.16,179.09
2018-05-08 00:00:00,186.05,180.27
2018-05-09 00:00:00,187.36,181.77
2018-05-10 00:00:00,190.04,182.5
2018-05-11 00:00:00,188.59,182.41
2018-05-14 00:00:00,188.15,183.57
2018-05-15 00:00:00,186.44,184.58
2018-05-16 00:00:00,188.18,185.91
2018-05-17 00:00:00,186.99,186.45
2018-05-18 00:00:00,186.31,186.15
2018-05-21 00:00:00,187.63,187.34
2018-05-22 00:00:00,187.16,188.36
2018-05-23 00:00:00,188.36,189.3
2018-05-24 00:00:00,188.15,189.43
2018-05-25 00:00:00,188.58,188.71
2018-05-29 00:00:00,187.9,189.27
2018-05-30 00:00:00,187.5,190.21
2018-05-31 00:00:00,186.87,190.34
2018-06-01 00:00:00,190.24,189.62
2018-06-04 00:00:00,191.83,189.56
2018-06-05 00:00:00,193.31,189.89
2018-06-06 00:00:00,193.98,190.54
2018-06-07 00:00:00,193.46,190.38
2018-06-08 00:00:00,191.7,189.36
2018-06-11 00:00:00,191.23,188.45
2018-06-12 00:00:00,192.28,188.77
2018-06-13 00:00:00,190.7,189.42
2018-06-14 00:00:00,190.8,189.26
2018-06-15 00:00:00,188.84,188.25
2018-06-18 00:00:00,188.74,187.34
2018-06-19 00:00:00,185.69,187.66
2018-06-20 00:00:00,186.5,188.3
2018-06-21 00:00:00,185.46,188.15
2018-06-22 00:00:00,184.92,187.14
2018-06-25 00:00:00,182.17,186.23
2018-06-26 00:00:00,184.43,186.72
2018-06-27 00:00:00,184.16,187.53
2018-06-28 00:00:00,185.5,187.55
2018-06-29 00:00:00,185.11,186.71
2018-07-02 00:00:00,187.18,186.31
2018-07-03 00:00:00,183.92,186.79
2018-07-05 00:00:00,185.4,187.62
2018-07-06 00:00:00,187.97,186.78
2018-07-09 00:00:00,190.58,187.38
2018-07-10 00:00:00,190.35,188.2
2018-07-11 00:00:00,187.88,189.36
2018-07-12 00:00:00,191.03,189.71
2018-07-13 00:00:00,191.33,189.2
2018-07-16 00:00:00,190.91,189.8
2018-07-17 00:00:00,191.45,190.64
2018-07-18 00:00:00,190.4,191.81
2018-07-19 00:00:00,191.88,192.43
2018-07-20 00:00:00,191.44,192.18
2018-07-23 00:00:00,191.61,193.57
2018-07-24 00:00:00,193.0,194.69
2018-07-25 00:00:00,194.82,196.15
2018-07-26 00:00:00,194.21,196.79
2018-07-27 00:00:00,190.98,196.53
2018-07-30 00:00:00,189.91,198.23
2018-07-31 00:00:00,190.29,199.47
2018-08-01 00:00:00,201.5,201.06
2018-08-02 00:00:00,207.39,201.8
2018-08-03 00:00:00,207.99,201.63
2018-08-06 00:00:00,209.07,203.38
2018-08-07 00:00:00,207.11,204.65
2018-08-08 00:00:00,207.25,206.28
2018-08-09 00:00:00,208.88,207.04
2018-08-10 00:00:00,207.53,206.86
2018-08-13 00:00:00,208.87,208.66
2018-08-14 00:00:00,209.75,209.96
2018-08-15 00:00:00,210.24,211.63
2018-08-16 00:00:00,213.32,212.41
2018-08-17 00:00:00,217.58,212.23
2018-08-20 00:00:00,215.46,214.07
2018-08-21 00:00:00,215.04,215.3
2018-08-22 00:00:00,215.05,216.91
2018-08-23 00:00:00,215.49,217.6
2018-08-24 00:00:00,216.16,217.31
2018-08-27 00:00:00,217.94,218.87
2018-08-28 00:00:00,219.7,220.12
2018-08-29 00:00:00,222.98,221.77
2018-08-30 00:00:00,225.03,222.47
2018-08-31 00:00:00,227.63,221.54
2018-09-04 00:00:00,228.36,221.86
2018-09-05 00:00:00,226.87,222.87
2018-09-06 00:00:00,223.1,222.95
2018-09-07 00:00:00,221.3,222.01
2018-09-10 00:00:00,218.33,221.69
2018-09-11 00:00:00,223.85,222.33
2018-09-12 00:00:00,221.07,223.35
2018-09-13 00:00:00,226.41,223.42
2018-09-14 00:00:00,223.84,222.48
2018-09-17 00:00:00,217.88,222.16
2018-09-18 00:00:00,218.24,222.8
2018-09-19 00:00:00,218.37,223.82
2018-09-20 00:00:00,220.03,223.89
2018-09-21 00:00:00,217.66,222.95
2018-09-24 00:00:00,220.79,222.63
2018-09-25 00:00:00,222.19,223.27
2018-09-26 00:00:00,220.42,224.29
2018-09-27 00:00:00,224.95,224.37
2018-09-28 00:00:00,225.74,223.42
2018-10-01 00:00:00,227.26,223.1
2018-10-02 00:00:00,229.28,223.74
2018-10-03 00:00:00,232.07,224.77
2018-10-04 00:00:00,227.99,224.55
2018-10-05 00:00:00,224.29,223.31
2018-10-08 00:00:00,223.77,222.11
2018-10-09 00:00:00,226.87,222.45
2018-10-10 00:00:00,216.36,223.18
2018-10-11 00:00:00,214.45,222.96
2018-10-12 00:00:00,222.11,221.73
2018-10-15 00:00:00,217.36,220.28
2018-10-16 00:00:00,222.15,220.54
2018-10-17 00:00:00,221.19,221.17
2018-10-18 00:00:00,216.02,220.87
2018-10-19 00:00:00,219.31,219.56
2018-10-22 00:00:00,220.65,218.13
2018-10-23 00:00:00,222.73,218.38
2018-10-24 00:00:00,215.09,219.01
2018-10-25 00:00:00,219.8,217.86
2018-10-26 00:00:00,216.3,215.74
2018-10-29 00:00:00,212.24,211.85
2018-10-30 00:00:00,213.3,211.28
2018-10-31 00:00:00,218.86,211.07
2018-11-01 00:00:00,222.22,209.96
2018-11-02 00:00:00,207.48,207.92
2018-11-05 00:00:00,201.59,204.17
2018-11-06 00:00:00,203.77,203.45
2018-11-07 00:00:00,209.95,203.08
2018-11-08 00:00:00,208.49,201.85
2018-11-09 00:00:00,204.47,199.72
2018-11-12 00:00:00,194.17,195.64
2018-11-13 00:00:00,192.23,194.95
2018-11-14 00:00:00,186.8,194.59
2018-11-15 00:00:00,191.41,193.41
2018-11-16 00:00:00,193.53,191.37
2018-11-19 00:00:00,185.86,187.46
2018-11-20 00:00:00,176.98,186.8
2018-11-21 00:00:00,176.78,186.46
2018-11-23 00:00:00,172.29,183.37
2018-11-26 00:00:00,174.62,179.62
2018-11-27 00:00:00,174.24,178.99
2018-11-28 00:00:00,180.94,178.86
2018-11-29 00:00:00,179.55,177.98
2018-11-30 00:00:00,178.58,176.31
2018-12-03 00:00:00,184.82,173.3
2018-12-04 00:00:00,176.69,172.88
2018-12-06 00:00:00,174.72,171.92
2018-12-07 00:00:00,168.49,170.29
2018-12-10 00:00:00,169.6,167.39
2018-12-11 00:00:00,168.63,166.99
2018-12-12 00:00:00,169.1,166.88
2018-12-13 00:00:00,170.95,166.05
2018-12-14 00:00:00,165.48,164.49
2018-12-17 00:00:00,163.94,161.68
2018-12-18 00:00:00,166.07,161.3
2018-12-19 00:00:00,160.89,161.19
2018-12-20 00:00:00,156.83,160.39
2018-12-21 00:00:00,150.73,158.88
2018-12-24 00:00:00,146.83,156.17
2018-12-26 00:00:00,157.17,155.69
2018-12-27 00:00:00,156.15,154.92
2018-12-28 00:00:00,156.23,153.46
2018-12-31 00:00:00,157.74,150.85
2019-01-02 00:00:00,157.92,150.38
2019-01-03 00:00:00,142.19,150.79
2019-01-04 00:00:00,148.26,150.52
2019-01-07 00:00:00,147.93,151.4
2019-01-08 00:00:00,150.75,152.2
2019-01-09 00:00:00,153.31,153.27
2019-01-10 00:00:00,153.8,153.68
2019-01-11 00:00:00,152.29,153.41
2019-01-14 00:00:00,150.0,154.3
2019-01-15 00:00:00,153.07,155.12
2019-01-16 00:00:00,154.94,156.2
2019-01-17 00:00:00,155.86,156.63
2019-01-18 00:00:00,156.82,156.35
2019-01-22 00:00:00,153.3,158.09
2019-01-23 00:00:00,153.92,159.2
2019-01-24 00:00:00,152.7,159.63
2019-01-25 00:00:00,157.76,159.35
2019-01-28 00:00:00,156.3,160.27
2019-01-29 00:00:00,154.68,161.12
2019-01-30 00:00:00,165.25,162.25
2019-01-31 00:00:00,166.44,162.69
2019-02-01 00:00:00,166.52,162.4
2019-02-04 00:00:00,171.25,163.35
2019-02-05 00:00:00,174.18,164.21
2019-02-06 00:00:00,174.24,165.36
2019-02-07 00:00:00,170.94,165.81
2019-02-08 00:00:00,170.41,165.51
2019-02-11 00:00:00,169.43,166.48
2019-02-12 00:00:00,170.89,167.36
2019-02-13 00:00:00,170.18,168.53
2019-02-14 00:00:00,170.8,168.99
2019-02-15 00:00:00,170.42,168.69
2019-02-19 00:00:00,170.93,170.57
2019-02-20 00:00:00,172.03,171.76
2019-02-21 00:00:00,171.06,172.23
2019-02-22 00:00:00,172.97,171.92
2019-02-25 00:00:00,174.23,172.92
2019-02-26 00:00:00,174.33,173.84
2019-02-27 00:00:00,174.87,175.06
2019-02-28 00:00:00,173.15,175.53
2019-03-01 00:00:00,174.97,175.22
2019-03-04 00:00:00,175.85,176.24
2019-03-05 00:00:00,175.53,177.17
2019-03-06 00:00:00,174.52,178.41
2019-03-07 00:00:00,172.5,178.9
2019-03-08 00:00:00,172.91,178.58
2019-03-11 00:00:00,178.9,179.62
2019-03-12 00:00:00,180.91,180.57
2019-03-13 00:00:00,181.71,181.83
2019-03-14 00:00:00,183.73,182.33
2019-03-15 00:00:00,nan,182.0
2019-03-16 00:00:00,nan,180.97
2019-03-17 00:00:00,nan,181.46
2019-03-18 00:00:00,nan,183.06
2019-03-19 00:00:00,nan,184.03
2019-03-20 00:00:00,nan,185.32
2019-03-21 00:00:00,nan,185.82
2019-03-22 00:00:00,nan,185.49
2019-03-23 00:00:00,nan,184.43
2019-03-24 00:00:00,nan,184.94
